customer_id;title;fname;lname;addressline;town;zipcode;phone
1;Mme;Morel;Natalie;River Street;PISCATAWAY;732;9675640
2;M.;Dubois;George;Mill Street;HARTVILLE;307;0933695
3;Mme;Vincent;Jacqueline;Poplar Street;GREENBUSH;920;4405450
4;Mme;Dubois;Monique;Lincoln Street;STAPLES;218;4128029
5;Mme;Bernard;Annie;Spring Street;SILVERADO;714;2574983
6;M.;Lefebvre;Nicolas;Cedar Street;CHATHAM;610;2912729
7;Mme;Simon;Anne;Park Street;EDNA;316;2446105
8;Mme;Thomas;Jeanne;Ash Street;HATFIELD;413;6819834
9;Mme;Martin;Genevieve;Meadow Street;POMERENE;520;7912422
10;Mme;Laurent;Corinne;North Street;SPADE;806;9278638
11;Mme;Fournier;Jeanne;4th Street;BOOTHVILLE;504;5279470
12;Mme;André;Catherine;5th Street;NORTH ANDOVER;978;9199273
13;Mme;Durand;Emilie;Sunset Street;KENT;541;5582377
14;Mme;Mercier;Andree;3rd Street;CALION;870;6372933
15;M.;Martin;Marcel;Third Street;HARVEY;501;4586267
16;M.;Martin;Paul;Second Street;PIERCEFIELD;518;3280469
17;M.;Martin;Robert;Center Street;TYLERTOWN;601;3281906
18;Mme;Durand;Paulette;Railroad Street;NEW UNDERWOOD;605;1011731
19;M.;Martin;Vincent;Railroad Street;GLADBROOK;515;8092470
20;Mme;Martin;Margeuerite;2nd Street;LOUISBURG;919;3678840
21;M.;Dubois;Marcel;8th Street;CERRILLOS;505;3822155
22;Mme;Fournier;Odette;Hill Street;FERRYSBURG;616;2512984
23;Mme;Lefèvre;Marie;Cherry Street;DANVILLE;804;3433450
24;M.;Dubois;Olivier;4th Street;BRIGHTON;618;7801538
25;Mme;Richard;Cecile;Maple Street;NOBLESVILLE;317;3893124
26;M.;André;Rene;Pine Street;MOSCOW;517;5211130
27;Mme;Simon;Corinne;Second Street;AVAWAM;606;7309395
28;M.;Petit;Franck;3rd Street;RAMEY;814;5707764
29;Mme;Laurent;Julie;First Street;KELLOGG;507;2988627
30;M.;Fournier;Michel;Oak Street;SHINGLETOWN;530;4968924
31;Mme;Thomas;Caroline;Jefferson Street;WEST DANVILLE;802;2658778
32;M.;Bertrand;Paul;Taylor Street;MOON;804;6264177
33;M.;Thomas;Alexandre;3rd Street;TANEYVILLE;417;9793613
34;M.;André;David;Oak Street;MATADOR;806;9017862
35;Mme;Lefebvre;Jacqueline;Lake Street;WEST VAN LEAR;606;2466835
36;Mme;Vincent;Audrey;Pine Street;WESTBROOKVILLE;914;3337420
37;M.;Leroy;Nicolas;View Street;SYCAMORE;724;3756326
38;Mme;Durand;Paulette;3rd Street;LEESVILLE;803;8656161
39;M.;Petit;Vincent;Willow Street;ENNING;605;2080121
40;M.;David;Christian;West Street;CYGNET;419;8703573
41;M.;Simon;Joseph;Chestnut Street;STILLWATER;651;8934818
42;Mme;Dubois;Catherine;Second Street;GREENFORD;330;3927067
43;M.;Durand;Daniel;Church Street;PAWNEE;918;3482217
44;M.;Martin;Daniel;Walnut Street;BENSALEM;215;5413075
45;M.;Robert;Pascal;Fifth Street;MT BALDY;909;8389560
46;Mme;Dubois;Audrey;3rd Street;BINGEN;509;6721265
47;M.;Durand;Jean;Hickory Street;HOPATCONG;973;8090958
48;M.;Robert;Philippe;Locust Street;STAR CITY;870;2926952
49;Mme;Laurent;Florence;Locust Street;BUCHANAN;701;5543879
50;M.;Michel;Bernard;Hickory Street;WATERS;517;0491515
51;Mme;Michel;Nicole;Hillcrest Street;MYERSVILLE;301;3300699
52;Mme;Lefebvre;Cecile;Lake Street;SUNSHINE;225;8991568
53;Mme;Girard;Claudine;Williams Street;EASTPOINT;850;4044790
54;M.;Moreau;Pascal;11th Street;IONIA;660;9233334
55;M.;Martin;Thierry;Lakeview Street;HIGH ROLLS MOUNTAIN PARK;505;4918349
56;Mme;Girard;Audrey;Center Street;DRISCOLL;512;6706257
57;M.;Robert;Guillaume;Oak Street;RUBY;540;0062760
58;Mme;Lefebvre;Annie;Willow Street;MOUNT VERNON;812;3096635
59;M.;Roux;Henri;Jackson Street;AMADO;520;5441240
60;M.;Garcia;Guy;2nd Street;BETHANY;660;9181751
61;M.;Durand;Henri;Lake Street;FESSENDEN;701;9114555
62;Mme;Garcia;Elodie;3rd Street;RIO VERDE;602;0918422
63;M.;Richard;Michel;Jefferson Street;VAN BUREN POINT;716;3535677
64;Mme;Garcia;Claire;Spruce Street;RANDSBURG;760;2718079
65;Mme;Bernard;Dominique;Birch Street;EKALAKA;406;5683806
66;M.;Laurent;Christophe;1st Street;CHAUTAUQUA;716;3542594
67;Mme;Robert;Laurence;Hill Street;BARTLEY;304;4702442
68;Mme;Morel;Christine;8th Street;EAST NORTHPORT;516;8306407
69;M.;Morel;Joseph;8th Street;KELLOGG;208;8838300
70;M.;Dubois;Julien;Third Street;SWAMPSCOTT;781;8585525
71;Mme;Dubois;Christelle;Mill Street;STAFFORD;316;4489605
72;M.;Martin;Eric;View Street;CUBA;937;7821747
73;M.;Bertrand;Daniel;Second Street;HALLECK;702;6319278
74;M.;Morel;Franck;Cherry Street;RADIANT;540;9881641
75;Mme;Martin;Florence;Laurel Street;EVANS CITY;724;1800159
76;M.;Durand;Roger;Railroad Street;WEST TISBURY;508;1364343
77;M.;Dubois;Francois;Lee Street;ARNOLD;906;9514105
78;Mme;Dubois;Christine;First Street;SPIRITWOOD;701;8815630
79;M.;Dubois;Maurice;West Street;MUNDS PARK;520;3857977
80;M.;Leroy;Jean-Pierre;Cherry Street;NORTH EASTON;508;9780473
81;Mme;David;Audrey;Hillcrest Street;WENTWORTH;336;5996893
82;M.;Richard;Thierry;Sycamore Street;MANILLA;765;9198401
83;Mme;Laurent;Colette;Hickory Street;FOMBELL;724;8496387
84;M.;André;Francois;Ash Street;LONG GROVE;847;5938724
85;Mme;Martin;Nicole;Spring Street;NEW RICHMOND;513;1782196
86;Mme;Fournier;Elisabeth;7th Street;OAKVILLE;860;5877560
87;M.;Laurent;Bruno;Mill Street;PENRYN;916;7531314
88;M.;Michel;Rene;Dogwood Street;IRVINGTON;618;0385838
89;Mme;Simon;Audrey;13th Street;HARWICK;724;1797744
90;Mme;Robert;Celine;Forest Street;NEWELL;712;8130954
91;M.;Girard;Marc;Main Street;WHITES CITY;505;1282189
92;Mme;Martin;Renee;Maple Street;WAVERLY;502;7513928
93;Mme;Mercier;Celine;Walnut Street;BENTONIA;601;9167705
94;M.;Roux;Louis;2nd Street;PINEVILLE;704;7738447
